Sample Size	Simulations	Rejections	Power	Power Low	Power High
       1000	     100000	      4768	 4.77%	    4.64%	     4.90%
       2000	     100000	      7332	 7.33%	    7.17%	     7.50%
       3000	     100000	     10039	10.04%	    9.85%	    10.23%
       4000	     100000	     13305	13.30%	   13.10%	    13.52%
       5000	     100000	     16313	16.31%	   16.09%	    16.54%
      10000	     100000	     32993	32.99%	   32.70%	    33.29%
      15000	     100000	     48638	48.64%	   48.33%	    48.95%
      20000	     100000	     62834	62.83%	   62.53%	    63.13%
      30000	     100000	     81946	81.95%	   81.71%	    82.18%
      40000	     100000	     92140	92.14%	   91.97%	    92.31%
      50000	     100000	     96729	96.73%	   96.62%	    96.84%
     100000	     100000	     99984	99.98%	   99.97%	    99.99%
