Sample Size	Simulations	Rejections	Power	Power Low	Power High
       1000	     100000	      4751	 4.75%	    4.62%	     4.88%
       2000	     100000	      7313	 7.31%	    7.15%	     7.48%
       3000	     100000	     10229	10.23%	   10.04%	    10.42%
       4000	     100000	     12879	12.88%	   12.67%	    13.09%
       5000	     100000	     16478	16.48%	   16.25%	    16.71%
      10000	     100000	     33174	33.17%	   32.88%	    33.47%
      15000	     100000	     49213	49.21%	   48.90%	    49.52%
      20000	     100000	     62946	62.95%	   62.65%	    63.24%
      30000	     100000	     82161	82.16%	   81.92%	    82.40%
      40000	     100000	     92208	92.21%	   92.04%	    92.37%
      50000	     100000	     96734	96.73%	   96.62%	    96.84%
     100000	     100000	     99982	99.98%	   99.97%	    99.99%
