Sample Size	Simulations	Rejections	Power	Power Low	Power High
       1000	     100000	         0	  0.0%	    -0.0%	      0.0%
       2000	     100000	      3175	  3.2%	     3.1%	      3.3%
       3000	     100000	      5435	  5.4%	     5.3%	      5.6%
       4000	     100000	      8769	  8.8%	     8.6%	      8.9%
       5000	     100000	     10834	 10.8%	    10.6%	     11.0%
      10000	     100000	     26991	 27.0%	    26.7%	     27.3%
      15000	     100000	     43435	 43.4%	    43.1%	     43.7%
      20000	     100000	     58179	 58.2%	    57.9%	     58.5%
      30000	     100000	     79081	 79.1%	    78.8%	     79.3%
      40000	     100000	     90759	 90.8%	    90.6%	     90.9%
      50000	     100000	     96119	 96.1%	    96.0%	     96.2%
     100000	     100000	     99968	100.0%	   100.0%	    100.0%
